epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.483,2.24583,4.59781,1.97159,0.00172,0.50565,0.03266,0.01472,2.75286,4.45316,2.58891,9.7619e-05,9.7619e-05,0.0675579
2,12.5546,1.85533,3.5412,1.64734,0.50326,0.22637,0.32663,0.16729,1.8529,3.12204,1.59463,0.000195663,0.000195663,0.0343226
3,16.4393,1.80716,2.89095,1.61116,0.44682,0.51659,0.49881,0.25,1.79604,2.55536,1.58799,0.000291726,0.000291726,0.00108538
4,20.3316,1.7223,2.59538,1.53052,0.48002,0.54572,0.54632,0.27757,1.73835,2.71169,1.55799,0.00029109,0.00029109,0.00029109
5,24.1954,1.68368,2.42516,1.49961,0.44935,0.58454,0.54926,0.28582,1.77849,2.32661,1.58539,0.00028812,0.00028812,0.00028812
6,28.0583,1.6526,2.2828,1.47723,0.68715,0.5443,0.62656,0.33942,1.66669,2.10688,1.47432,0.00028515,0.00028515,0.00028515
7,31.9742,1.62938,2.11271,1.46503,0.65889,0.68348,0.7147,0.37919,1.65269,1.91879,1.46021,0.00028218,0.00028218,0.00028218
8,35.8711,1.55498,1.98124,1.42905,0.67102,0.75766,0.75569,0.3872,1.58203,1.88279,1.43196,0.00027921,0.00027921,0.00027921
9,39.7417,1.56124,1.95478,1.4418,0.76382,0.68629,0.76186,0.40988,1.5402,1.72553,1.41853,0.00027624,0.00027624,0.00027624
10,43.5327,1.50744,1.81625,1.39105,0.76298,0.78467,0.83416,0.4658,1.56338,1.55956,1.40222,0.00027327,0.00027327,0.00027327
11,47.3488,1.47501,1.71508,1.37767,0.7936,0.73574,0.82656,0.45378,1.59702,1.90592,1.44706,0.0002703,0.0002703,0.0002703
12,51.1455,1.46291,1.66525,1.35822,0.80669,0.78786,0.85164,0.4856,1.57974,1.60854,1.39926,0.00026733,0.00026733,0.00026733
13,54.9904,1.45211,1.60244,1.34406,0.74905,0.8128,0.84837,0.48746,1.52854,1.55505,1.38477,0.00026436,0.00026436,0.00026436
14,58.8338,1.42756,1.59928,1.34018,0.76633,0.82077,0.84425,0.47579,1.58046,1.57436,1.42291,0.00026139,0.00026139,0.00026139
15,62.6539,1.36937,1.48577,1.29524,0.72042,0.76149,0.79863,0.46143,1.54794,1.59695,1.3972,0.00025842,0.00025842,0.00025842
16,66.4746,1.3876,1.52453,1.30408,0.79317,0.80188,0.86048,0.51629,1.54062,1.36088,1.36903,0.00025545,0.00025545,0.00025545
17,70.3506,1.34711,1.43008,1.28226,0.87346,0.76604,0.87836,0.48964,1.61632,1.35589,1.42133,0.00025248,0.00025248,0.00025248
18,74.23,1.39752,1.41019,1.33637,0.83175,0.7836,0.85928,0.50264,1.56633,1.43084,1.406,0.00024951,0.00024951,0.00024951
19,78.1115,1.32265,1.36537,1.2648,0.85061,0.79186,0.87625,0.50337,1.50558,1.28491,1.3697,0.00024654,0.00024654,0.00024654
20,81.9732,1.31787,1.417,1.27568,0.79413,0.84266,0.8605,0.479,1.54594,1.35851,1.38795,0.00024357,0.00024357,0.00024357
21,85.8805,1.32758,1.32293,1.25295,0.84772,0.81998,0.87089,0.51785,1.55053,1.28612,1.38669,0.0002406,0.0002406,0.0002406
22,89.7025,1.33193,1.33266,1.28774,0.8206,0.80651,0.85249,0.48348,1.55803,1.35326,1.39673,0.00023763,0.00023763,0.00023763
23,93.5398,1.31661,1.31189,1.27107,0.8268,0.77767,0.84276,0.49253,1.53925,1.35094,1.40296,0.00023466,0.00023466,0.00023466
24,97.3893,1.28003,1.24958,1.246,0.85136,0.84006,0.88258,0.53109,1.46111,1.33237,1.33724,0.00023169,0.00023169,0.00023169
25,101.255,1.26837,1.22705,1.25126,0.88699,0.81314,0.88016,0.53128,1.53019,1.17867,1.39777,0.00022872,0.00022872,0.00022872
26,105.039,1.25878,1.24169,1.2512,0.83619,0.81157,0.86014,0.46802,1.66305,1.36605,1.46964,0.00022575,0.00022575,0.00022575
27,108.876,1.26267,1.1818,1.23542,0.83611,0.87669,0.90371,0.50292,1.56499,1.22737,1.40646,0.00022278,0.00022278,0.00022278
28,112.786,1.26545,1.24168,1.23027,0.84214,0.85781,0.89394,0.53333,1.53301,1.16494,1.37476,0.00021981,0.00021981,0.00021981
29,116.665,1.20186,1.17757,1.21501,0.83369,0.85373,0.88024,0.50872,1.53549,1.25023,1.38688,0.00021684,0.00021684,0.00021684
